epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,7285.76,1.49718,1.02821,0.89701,0.42834,0.34124,0.33113,0.19093,1.43299,1.01187,0.89564,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7397.65,1.4906,1.02237,0.89713,0.43604,0.33387,0.33437,0.19234,1.43328,1.01163,0.89474,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7510.45,1.48983,1.02358,0.89701,0.43442,0.33759,0.33349,0.19167,1.43504,1.01136,0.89519,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7624.09,1.48787,1.01772,0.89669,0.42254,0.33896,0.33301,0.19158,1.4307,1.00928,0.89431,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7736.28,1.48555,1.01423,0.89647,0.43267,0.33732,0.33414,0.19335,1.43026,1.00774,0.8944,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7848.21,1.48399,1.01297,0.89621,0.43638,0.33729,0.33642,0.19399,1.42764,1.00625,0.89341,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7960.18,1.48395,1.01207,0.89346,0.43834,0.33686,0.33609,0.19443,1.427,1.0068,0.8937,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8071.62,1.48485,1.01178,0.89486,0.44197,0.3404,0.33831,0.19497,1.42722,1.00359,0.89316,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8185.31,1.47949,1.00683,0.89252,0.43971,0.34028,0.33806,0.19431,1.42193,1.00264,0.89229,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8314.04,1.48471,1.00756,0.89385,0.44294,0.34274,0.34006,0.19609,1.42375,1.00042,0.892,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8443.55,1.47404,1.00084,0.89319,0.43756,0.34398,0.34127,0.19609,1.4255,1.00106,0.89267,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8573.53,1.46827,0.99812,0.89277,0.44003,0.34368,0.34221,0.19797,1.42302,1.00024,0.89198,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8704.16,1.47075,0.99805,0.89345,0.44656,0.33994,0.34073,0.1965,1.42459,1.00006,0.89274,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8857.25,1.46603,0.99439,0.89132,0.45097,0.33849,0.33939,0.19558,1.42669,1.00097,0.893,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9008,1.46616,0.99394,0.89159,0.45372,0.34137,0.34375,0.1979,1.42284,0.99782,0.89226,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9155.9,1.46355,0.99114,0.88977,0.44904,0.34534,0.3431,0.19783,1.42319,0.99743,0.89214,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9303.51,1.46329,0.98858,0.89219,0.45218,0.34114,0.34319,0.19793,1.42324,0.996,0.89243,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9454.67,1.4605,0.98694,0.89219,0.45434,0.34115,0.3415,0.19724,1.42454,0.99742,0.89264,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9896.44,1.45527,0.98241,0.89039,0.4532,0.34094,0.34221,0.19799,1.42315,0.9977,0.89246,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10105.4,1.45034,0.97908,0.89113,0.4479,0.34083,0.34024,0.19673,1.42481,0.99731,0.89231,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10301.5,1.46274,0.98541,0.88976,0.44114,0.34638,0.34207,0.19711,1.42087,0.99319,0.89199,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10522.6,1.45202,0.97423,0.88953,0.45167,0.33858,0.34098,0.19642,1.4198,0.99437,0.89115,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10729.7,1.45746,0.97816,0.88903,0.45775,0.33978,0.34225,0.19788,1.42129,0.99334,0.89164,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10895.6,1.45141,0.97464,0.88979,0.44877,0.34275,0.3436,0.19876,1.41944,0.99382,0.89141,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11383.8,1.45193,0.97103,0.88852,0.45498,0.33952,0.34305,0.19845,1.41971,0.99282,0.89151,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11603.4,1.44372,0.96622,0.88683,0.44898,0.34413,0.34249,0.19793,1.41911,0.99247,0.89186,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11832.9,1.44344,0.96488,0.88564,0.45355,0.34214,0.34367,0.19824,1.41826,0.99176,0.89153,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
